query,title,doi,authors,abstract,publication_year,cited_by_count
job satisfaction,The nature and causes of job satisfaction,,Edwin A. Locke,N/A,1976,6358
job satisfaction,"Organizational commitment, job satisfaction, and turnover among psychiatric technicians.",https://doi.org/10.1037/h0037335,Lyman W. Porter; Richard M. Steers; Richard T. Mowday; Paul V. Boulian,N/A,1974,5739
job satisfaction,The job satisfaction–job performance relationship: A qualitative and quantitative review.,https://doi.org/10.1037/0033-2909.127.3.376,Timothy A. Judge; Carl J. Thoresen; Joyce E. Bono; Gregory K. Patton,N/A,2001,3928
job satisfaction,Job Satisfaction and Organizational Commitment as Predictors of Organizational Citizenship and In-Role Behaviors,https://doi.org/10.1177/014920639101700305,Larry J. Williams; Stella E. Anderson,N/A,1991,5761
job satisfaction,What is job satisfaction?,https://doi.org/10.1016/0030-5073(69)90013-0,Edwin A. Locke,N/A,1969,2589
job satisfaction,"Job Satisfaction: Application, Assessment, Causes, and Consequences",https://doi.org/10.4135/9781452231549,Paul E. Spector,N/A,1997,4598
job satisfaction,Overall job satisfaction: How good are single-item measures?,https://doi.org/10.1037/0021-9010.82.2.247,John P. Wanous; Arnon E. Reichers; Michael J. Hudy,N/A,1997,2946
job satisfaction,"Job Satisfaction and the Good Soldier: The Relationship Between Affect and Employee ""Citizenship"".",https://doi.org/10.2307/255908,Thomas S. Bateman; Dennis W. Organ,N/A,1983,2394
job satisfaction,"JOB SATISFACTION, ORGANIZATIONAL COMMITMENT, TURNOVER INTENTION, AND TURNOVER: PATH ANALYSES BASED ON META‐ANALYTIC FINDINGS",https://doi.org/10.1111/j.1744-6570.1993.tb00874.x,Robert P. Tett; John P. Meyer,N/A,1993,3815
job satisfaction,Five-factor model of personality and job satisfaction: A meta-analysis.,https://doi.org/10.1037/0021-9010.87.3.530,Timothy A. Judge; Daniel Heller; Michael K. Mount,N/A,2002,1983
job satisfaction,Measurement of human service staff satisfaction: Development of the Job Satisfaction Survey,https://doi.org/10.1007/bf00929796,Paul E. Spector,N/A,1985,1892
job satisfaction,"Relationship of core self-evaluations traits—self-esteem, generalized self-efficacy, locus of control, and emotional stability—with job satisfaction and job performance: A meta-analysis.",https://doi.org/10.1037/0021-9010.86.1.80,Timothy A. Judge; Joyce E. Bono,N/A,2001,3091
job satisfaction,The relationship between job satisfaction and health: a meta-analysis,https://doi.org/10.1136/oem.2002.006734,E. B. Faragher; Marilee Cass; Cary L. Cooper,N/A,2005,1542
job satisfaction,Deconstructing job satisfaction,https://doi.org/10.1016/s1053-4822(02)00045-1,Howard M. Weiss,N/A,2002,1391
job satisfaction,Employee attitudes and job satisfaction,https://doi.org/10.1002/hrm.20032,Lise M. Saari; Timothy A. Judge,N/A,2004,1150
job satisfaction,Work Values and Job Rewards: A Theory of Job Satisfaction,https://doi.org/10.2307/2117735,Arne L. Kalleberg,N/A,1977,1238
job satisfaction,"Perceived organizational support, discretionary treatment, and job satisfaction.",https://doi.org/10.1037/0021-9010.82.5.812,Robert Eisenberger; Jim Cummings; Stephen Armeli; Patrick M. Lynch,N/A,1997,1510
job satisfaction,Index of Job Satisfaction,https://doi.org/10.1037/t32048-000,Aliou Sall,N/A,2012,1623
job satisfaction,"Effects on teachers' self-efficacy and job satisfaction: Teacher gender, years of experience, and job stress.",https://doi.org/10.1037/a0019237,Robert M. Klassen; Ming Ming Chiu,N/A,2010,1978
job satisfaction,Intermediate linkages in the relationship between job satisfaction and employee turnover.,https://doi.org/10.1037/0021-9010.62.2.237,William H. Mobley,N/A,1977,2139
work performance,The World Health Organization Health and Work Performance Questionnaire (HPQ),https://doi.org/10.1097/01.jom.0000052967.43131.51,Ronald C. Kessler; Catherine Barber; Arne Beck; Patricia A. Berglund; Paul D. Cleary; David K. McKenas; Nico Pronk; Gregory E. Simon; Paul Stang; T. B. Üstün; Phillip Wang,N/A,2003,1021
work performance,The contribution of burnout to work performance,https://doi.org/10.1002/(sici)1099-1379(199709)18:5<491::aid-job804>3.0.co;2-i,Thomas A. Wright; Douglas G. Bonett,N/A,1997,476
