title,doi,year,authors,abstract,keywords,relevance_score,pdf_url,publisher,journal,type
"Article with BY print pub date, CY online pub date, issue BY print pub date",10.5555/pubdate12,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online BY print pub date",10.5555/pubdate9,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue BY print pub date",10.5555/pubdate10,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue CY online BY print pub date",10.5555/pubdate7,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online pub date",10.5555/pubdate6,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue BY print pub date",10.5555/pubdate11,0,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue CY onlineBY print pub date",10.5555/pubdate8,0,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
Guide to Microforms in Print: Author/Title; Guide to Microforms in Print: Subject. 2 vols,10.1163/2468-1733_shafr_sim020030030,0,,,job satisfaction,0.0,,Brill,The SHAFR Guide Online,dataset
"Contract, Gender, and Job Satisfaction: Evidence from Benin",10.5772/intechopen.90358,0,Monsoï Kenneth Colombiano Kponou,,job satisfaction,3.0,,IntechOpen,Career Development and Job Satisfaction,book-chapter
Comparison of Published Measures of Job Satisfaction on a Taxonomy of Job Rewards.,10.21236/ada058138,1978,Robert D. Pritchard; James B. Shaw,,job satisfaction,3.0,,Defense Technical Information Center,,report
"Job Training Satisfaction, Job Satisfaction, and Job Performance",10.5772/intechopen.89117,0,Wen-Rou Huang,,job satisfaction,3.0,,IntechOpen,Career Development and Job Satisfaction,book-chapter
"Title, author, date",10.1017/cbo9781107297951.002,1983,,,job satisfaction,0.0,,Cambridge University Press,A Study of Daphnis and Chloe,book-chapter
URL Data Type,10.32388/yfmyre,0, ,,job satisfaction,0.0,,Qeios,Definitions,reference-entry
