title,doi,year,authors,abstract,keywords,relevance_score,pdf_url,publisher,journal,type
true date-time group,10.1007/springerreference_27565,0,,,job satisfaction,0.0,,Springer-Verlag,SpringerReference,reference-entry
Job the True Sage,10.1093/oso/9780190885120.003.0004,2018,Michael C. Legaspi,"<p>In the book of Job, wisdom is contested. In the speeches of the friends, wisdom is a program based on a pious alignment with divine justice as manifest in the sacred, social, and cosmic orders. In the figure of Job, the reader is invited to reconsider the nature of piety on which this understanding of wisdom is based. Job raises the possibility that piety is a form of integrity that yields a different relation to order. Accordingly, piety does not consist in a knowledge of order that leads to a prosperous life but rather in the determination to hold one’s place within the order, to remain true to the inner dictates of one’s pious life. To do so is to inhabit an order in which the strange inexplicability of this determination is coordinated to the strangeness of the cosmos itself and to the will of an inscrutable God.</p>",job satisfaction,0.6,,Oxford University Press,Oxford Scholarship Online,book
P-glycoprotein Expressing-B cell associated Active True Renal Lupus Vasculitis in Lupus Nephritis,10.35248/2684-1630.20.5.150,0,Shizuyo Tsujimura; Akio Kawabe; Yoshiya Tanaka,,job satisfaction,0.0,,Longdom Group,Lupus: Open Access,journal-article
Doctors’ vocation: true satisfaction comes from what you put in,10.1136/bmj.m1272,0,Ieuan H Davies,,job satisfaction,0.0,,BMJ,BMJ,journal-article
"Job Satisfaction, Management Sentiment, and Financial Performance: Text Analysis with Job Reviews from Indeed.com",10.22541/au.159596366.69672878,0,Sijie Fiona Feng,,job satisfaction,3.0,,"Authorea, Inc.",,posted-content
One “True” Meaning,10.3998/ergo.6783,0,Poppy Mankowitz,"<jats:p>Some words express different meanings in different contexts, such as “bank” and “I.” Linguistic alethic pluralists claim that “true” is another such word. This is a surprising thesis that holds implications for debates about the nature of truth. Yet it is in need of careful elaboration and evaluation. I describe several versions of linguistic alethic pluralism, alongside tests that natural language theorists use to identify different types of meaning variation. I also consider empirical studies that have recently targeted the use of “true.” I conclude that there is currently no evidence for linguistic alethic pluralism, and unlikely to be any forthcoming.</jats:p>",job satisfaction,0.0,,University of Michigan Library,Ergo an Open Access Journal of Philosophy,journal-article
Another Way the River Has: Taut True Tales from the Northwest,10.1353/book83958,2010,Robin Cody,,job satisfaction,0.0,,Oregon State University Press,,monograph
The True Value of Open-Water Hydraulic Access Using Coiled Tubing,10.2118/199818-ms,2020,Mike Avery; Robert Greenaway; Robert Large; Phillip Rice,"<jats:title>Abstract</jats:title>
               <jats:p>As the global well base continues to increase, it is becoming apparent that under-investment in maintenance has helped contribute to a decreasing average production per subsea well. To combat this trend, more focused and cost-effective intervention techniques have emerged such as open-water hydraulic access (OWHA) using coiled tubing (CT).</jats:p>
               <jats:p>OWHA using CT provides operators with a fit-for-purpose solution to deliver fluids to a subsea well without the requirement for mechanical intervention. In scenarios which meet the requirements outlined within this paper, OWHA using CT offers an attractive alternative to conventional intervention approaches.</jats:p>
               <jats:p>Three predominant configurations of OWHA CT systems are apparent, all developed around differing drivers: a conventional system using a CT injector head (IH), a specialized system using a CT IH, and a powered reeler with deployment sheave. Both the benefits and limitations of each are considered to guide the reader in selecting the correct configuration for their application.</jats:p>
               <jats:p>The primary cost driver for hydraulic intervention is vessel selection. Factors including regional availability, mobilization requirements, and specification are key to the selection process. An advantage of OWHA using CT is the ability to use a vessel of opportunity due to the decreased equipment footprint and specification; this directly enhances service flexibility and cost management.</jats:p>
               <jats:p>When compared to alternative oil sources, the comparative cost per barrel of oil unlocked by OHWA is at least 43% less than the closest alternative. When compared to alternative intervention approaches, the simplified equipment and requirements result in a reduced total cost thus enhanced return on investment with accelerated payback.</jats:p>
               <jats:p>Using average global vessel rates and generalized assumptions, for a single well intervention the total costs can be in the order of the following magnitudes: floating rig USD 9-16M, light well USD 6-10M, OWHA USD 2-5M. Using an average well production gain of 1,950 BOPD this gives a typical payback time period of ~9 months for a rig and ~3 months for OWHA.</jats:p>
               <jats:p>In scenarios which meet the requirements outlined within this paper, OWHA provides the most economical solution with the ability to provide positive returns in the same financial year.</jats:p>",job satisfaction,1.0,https://onepetro.org/SPECTWI/proceedings-pdf/doi/10.2118/199818-MS/2353856/spe-199818-ms.pdf,SPE,SPE/ICoTA Well Intervention Conference and Exhibition,proceedings-article
Is Knowledge Justified True Belief?,10.31219/osf.io/yev3s,0,John Turri,"<p>Is knowledge justified true belief? Most philosophers believe that the answer is clearly ‘no’, as demonstrated by Gettier cases. But Gettier cases don’t obviously refute the traditional view that knowledge is justified true belief (JTB). There are ways of resisting Gettier cases, at least one of which is partly successful. Nevertheless, when properly understood, Gettier cases point to a flaw in JTB, though it takes some work to appreciate just what it is. The nature of the flaw helps us better understand the nature of knowledge and epistemic justification. I propose a crucial improvement to the traditional view, relying on an intuitive and independently plausible metaphysical distinction pertaining to the manifestation of intellectual powers, which supplements the traditional components of justification, truth and belief.</p>",job satisfaction,0.0,,Center for Open Science,,posted-content
Bacteria as true residents in the gastrointestinal tract of commercially reared fish,10.4172/2471-9315-c1-004,2017,Konstantinos Kormas,,job satisfaction,0.4,,OMICS Publishing Group,Applied Microbiology: Open Access,journal-article
Access controls on bmj.com: Restore true open access to bmj.com,10.1136/bmj.330.7496.904,2005,Iain Chalmers,,job satisfaction,0.0,,BMJ,BMJ,journal-article
The Job guarantee: toward true full employment,10.5860/choice.51-0391,2013,,,job satisfaction,0.0,,American Library Association,Choice Reviews Online,journal-article
A Dream Come True,10.33552/oajap.2019.02.000531,0,Kurt Forrer,,job satisfaction,0.0,,Iris Publishers LLC,Open Access Journal of Addiction and Psychology,journal-article
RAVA: An Open Hardware True Random Number Generator Based on Avalanche Noise,10.1109/access.2023.3327325,2023,Gabriel Guerrer,,job satisfaction,1.6,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,journal-article
He Has What?,10.4324/9781003526810-10,2024,Robert O. Blanc,,job satisfaction,1.8,,Routledge,True Stories From the Athletic Training Room,book-chapter
The Best Job I Ever Had,10.2307/j.ctv3dnns9.9,0,,,job satisfaction,0.0,,Potomac Books,After Combat,book-chapter
A True Symbiosis for the Mitochondria Evolution,10.4172/2167-7662.1000137,0,Alessandro Morelli; Camillo Rosano,,job satisfaction,0.0,,OMICS Publishing Group,Bioenergetics: Open Access,journal-article
Full-Text Search on Data with Access Control,10.31219/osf.io/4rwj5,0,Ahmad Zaky,"<p>Full-Text Search combined with access control has a wide range of applications. Unfortunately, there are only few (if not zero) researches that combine the two. While inverted index is already used widely for full-text searching, we try to use generalized suffix tree for its ability to search for any substring within a document, not only exact word occurrence. Theoretically, the time and memory needed to index a collection of documents is linear in the total size of the documents. However, our implementation requires memory more than 1200 times of the size of documents. A further analysis shows that at least 32 times is needed, but will require longer indexing time. In conclusion, generalized suffix tree may not suitable for large amount of data. In the other hand, the search using generalized suffix tree is 3 times faster than inverted index. Suffix tree can be used only if substring search is required (e.g. DNA processing), or where time is significantly more important than memory (e.g. search autocomplete system). The access control itself acts as filter after the documents yielded from searching through the index.</p>",job satisfaction,0.0,,Center for Open Science,,posted-content
ANZOP ACOFT Melb 2019 true time delay,10.31219/osf.io/sd42j,0,David Moss,<p>A microwave photonic true time delay line based on an integrated Kerr comb source with 49 GHz free spectral range was proposed and demonstrated. We theoretically analyze the performance of a phased array antenna and show that this large channel count results in a highangular resolution and wide beam-steering tunable range.</p>,job satisfaction,0.0,,Center for Open Science,,posted-content
Preface to the Text and Translation,10.2307/j.ctvzgb7nn.8,2020,,,job satisfaction,1.0,,Harrassowitz Verlag,Examination into the True Teaching,book-chapter
Preface to the Text and Translation,10.2307/j.ctvzgb7nn.8,2020,,,job satisfaction,1.0,,Harrassowitz Verlag,Examination into the True Teaching,book-chapter
Malignancies after Chernobyl Accident: What Is True and What Is Untrue,10.4172/2476-2024.1000107,0,Sergei V Jargin,,job satisfaction,0.0,,OMICS Publishing Group,Diagnostic Pathology: Open Access,journal-article
True candour about mistakes means full disclosure of system failures,10.1136/bmj.m104,0,Rajaratnam Jeyarajah,,job satisfaction,0.0,,BMJ,BMJ,journal-article
What Makes True Universal Statements True?,10.1093/oso/9780198854296.003.0007,2020,Bob Hale,"<p>What makes true universal statements true? For example, what makes the statement that <italic>all aardvarks are insectivorous</italic> true? In addressing this question, this chapter focuses especially on how it is to be answered within the framework of what Kit Fine calls <italic>exact truthmaker semantics</italic>. The main aim is to promote an alternative account of the truthmakers for quantified propositions. This chapter also gives some attention to two closely-related questions: first, when, and why, we should favour an alternative to the standard account, and second, whether the alternative account proposed can be accommodated within the framework of exact truthmaker semantics, in Fine’s sense.</p>",job satisfaction,1.0,,Oxford University Press,Essence and Existence,book-chapter
Job satisfaction: what is its true meaning in Greater China?,10.1108/17574320910989104,2009,Yong Han; Nada K. Kakabadse,"<jats:sec><jats:title content-type=""abstract-heading"">Purpose</jats:title><jats:p>Previously, researchers have performed studies on job satisfaction and organizational behavior outcomes in Western contexts. The purpose of this paper is to explore whether economic prosperity or cultural perspective may explain why job satisfaction may not be an effective predictor of organizational outcomes in Greater China. Researchers need more empirical evidence to understand the nature of the relationship between job satisfaction and work outcomes in a non‐Western context in general and in Greater China in particular.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Design/methodology/approach</jats:title><jats:p>The paper represents a conceptual work that draws on the metrical literature review within the field of organizational behavior.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Findings</jats:title><jats:p>Review of empirical studies regarding job satisfaction shows that in Greater China, including Mainland China, Taiwan, and Hong Kong, job satisfaction has a different meaning than those presented in Western organizational behavior literature. The differences in the meaning of job satisfaction between Western interpretation and Eastern (i.e. Chinese) interpretation can be explained by differing Western and Eastern cultural values rather than stages of economic development. Thus, both scholars and practitioners are able to re‐examine the concept, construct and correlates between job satisfaction and its organizational outcomes in Greater China.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Practical implications</jats:title><jats:p>The paper has implications for global management awareness in understanding complex meanings of job satisfaction and work outcomes in multinational enterprises and international joint ventures in Greater China.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Originality/value</jats:title><jats:p>The paper's findings raise awareness of potential shortcomings in using Western concepts, models and practices in Greater China and other non‐Western cultures. Moreover, it highlights the importance of cultural context and a need for further research in the area of organizational behavior from a Chinese cultural perspective.</jats:p></jats:sec>",job satisfaction,5.0,,Emerald,Asia-Pacific Journal of Business Administration,journal-article
Spurious or True? An Exploration of Antecedents and Simultaneity of Job Performance and Job Satisfaction Across the Sectors,10.1177/0091026015624714,2016,Jun Yi Hsieh,"<jats:p> The purpose of this study is to test differences and similarities of the public, private, and nonprofit sector employees by examining the antecedents and simultaneity of job satisfaction and job performance. The results, assessed by seemingly unrelated regression, showed that job satisfaction positively affects job performance, or vice versa. Explanatory variables such as goal ambiguity, leader–member exchange, and so forth also exerted significant effects on the outcome variables across three sectors. This study extends to explain the similarity and difference of three sectors based on the criteria of the values in common, outcome variation, task characteristics, and sector contexts. </jats:p>",job satisfaction,5.2,https://journals.sagepub.com/doi/pdf/10.1177/0091026015624714,SAGE Publications,Public Personnel Management,journal-article
So Good It Has to Be True: Wishful Thinking in Theory of Mind,10.1162/opmi_a_00011,2017,Daniel Hawthorne-Madell; Noah D. Goodman,"<jats:p> In standard decision theory, rational agents are objective, keeping their beliefs independent from their desires. Such agents are the basis for current computational models of Theory of Mind (ToM), but the accuracy of these models are unknown. Do people really think that others do not let their desires color their beliefs? In two experiments we test whether people think that others engage in wishful thinking. We find that participants do think others believe that desirable events are more likely to happen, and that undesirable ones are less likely to happen. However, these beliefs are not well calibrated as people do not let their desires influence their beliefs in the task. Whether accurate or not, thinking that others wishfully think has consequences for reasoning about them. We find one such consequence—people learn more from an informant who thinks an event will happen despite wishing it was otherwise. People’s ToM therefore appears to be more nuanced than the current rational accounts in that it allows other’s desires to directly affect their subjective probability of an event. </jats:p>",job satisfaction,0.4,,MIT Press - Journals,Open Mind,journal-article
Storytelling: True tales from my life experiences,10.1287/lytx.2020.02.06,2020,,,job satisfaction,1.0,,Institute for Operations Research and the Management Sciences (INFORMS),Mar/Apr 2020,dataset
THE TRUE COST OF AUTHENTICITY: WHY SHOWING UP AS YOUR FULL SELF HAS UNEXPECTED CONSEQUENCES,10.1130/abs/2024am-404813,2024, ; Akilah Alwan,,job satisfaction,1.8,,Geological Society of America,Geological Society of America Abstracts with Programs,proceedings-article
"It’s True, It’s True, It’s True",10.5040/9781350207769.00000002,2018, Breach,,job satisfaction,0.6,,Oberon Books,"It’s True, It’s True, It’s True",other
Measurement of the True Incidence of Secondary Haemorrhage Post Tonsillectomy,10.31031/smoaj.2018.02.000529,0,Vik Veer,,job satisfaction,0.0,,Crimson Publishers,Surgical Medicine Open Access Journal,journal-article
Open access: The true cost of science publishing,10.1038/495426a,2013,Richard Van Noorden,,job satisfaction,0.0,http://www.nature.com/articles/495426a.pdf,Springer Science and Business Media LLC,Nature,journal-article
Resin-bonded bridges made from zirconia ceramic - A true alternative to single tooth implants,10.4172/2572-4835-c1-004,2018,Matthias Kern,,job satisfaction,0.6,,OMICS Publishing Group,Dental Implants and Dentures Open Access,journal-article
The ‘True’ Democracy and the ‘True’ Self-Organization: Regulative Ideas or Reasons for Doubtful Estimations?,10.31269/triplec.v7i1.119,0,Iryna Dobronravova,<jats:p>The way from theoretical principles to the estimation of real events is often affected by personal preferences. This problem is typical for the post-non-classical situation in science in which authors are not indifferent toward their topics. The article uses the example of Ukrainian ‘Orange revolution’ in its consideration of how to avoid the classical position of high judgment from the point of view of pure ideas.</jats:p>,job satisfaction,0.0,https://www.triple-c.at/index.php/tripleC/article/download/119/84,Information Society Research,"tripleC: Communication, Capitalism &amp; Critique. Open Access Journal for a Global Sustainable Information Society",journal-article
The True Dream,10.4324/9781315403908-2,2017,,,job satisfaction,0.4,,Routledge,The True Dream,book-chapter
Managing a University Inclusive Access (E-Book) Program to Maximize Stakeholder Satisfaction,10.1007/978-3-030-45730-3_13,2020,Courtney Hurley; Weixing Ford,,job satisfaction,1.0,,Springer International Publishing,Inclusive Access and Open Educational Resources E-text Programs in Higher Education,book-chapter
INTRODUCTION: ‘TRUE STORIES’,10.12987/9780300231601-001,2020,,,job satisfaction,1.0,,Yale University Press,True Stories,book-chapter
"George Box’s Realization, That All Models, Especially Statistical Models, Are Wrong Means That It Is Impossible for There to Be Any True Probabilities, True Models, True Theories, True Expectations or True (Accepted) Hypotheses: The Claims, Made By Rational Expectations Proponents About True Objective Probabilities, True Models, True Expectations, True Expected Values, etc., Have No Scientific Foundation",10.2139/ssrn.3623958,0,Michael Emmett Brady,,job satisfaction,0.0,,Elsevier BV,SSRN Electronic Journal,journal-article
Privileged access,10.1017/cbo9780511625367.006,1992,,,job satisfaction,0.0,,Cambridge University Press,The Nature of True Minds,book-chapter
Giun’s <i>Verse Comments and Capping Phrases</i>,10.1093/oso/9780190941345.003.0003,2020,Steven Heine,"<jats:title>Abstract</jats:title>
               <jats:p>This chapter provides a complete translation of Giun’s verse comments on the Treasury of the True Dharma Eye along with the original kanbun (Sino-Japanese) text composed in the fourteenth century, including the four-line verses and capping phrases written by Giun and those by Honkō from the eighteenth century. In addition, the preface by Giun is included. A complete list of the fascicles with the translation, romanization, and original characters is also presented. The chapter additionally features the author’s own interpretative remarks concerning Giun’s medieval commentary by highlighting the meaning and significance of each of the 60 fascicles and discussing the symbolism and ramification of key examples of Giun’s and Honkō’s poetic imagery. Reading through these materials highlights various literary motifs and religious themes that characterize the verse comments.</jats:p>",job satisfaction,1.0,,Oxford University PressNew York,Flowers Blooming on a Withered Tree,book-chapter
"It's True, It's True, It's True: Artemisia on Trial by Breach Theatre",10.1353/tj.2020.0106,2020,Ellen Mackay,,job satisfaction,1.0,,Project MUSE,Theatre Journal,journal-article
Screening Films for Full Houses: The 2020 True/False Festival Finds an Enthusiastic Audience,10.3998/fc.13761232.0044.306,0,Brad Prager,,job satisfaction,0.0,,University of Michigan Library,Film Criticism,journal-article
1 True-Crime Obsessions,10.1515/9781626379138-002,2020,,,job satisfaction,1.0,,Lynne Rienner Publishers,"Fear, Justice, and Modern True Crime",book-chapter
